21.04.2024 22:26:34; Receiver; ??0??I; RxString
21.04.2024 22:44:52; Receiver; ??0??I; RxString
21.04.2024 22:44:55; lomi; ??0??I; lomi
21.04.2024 22:46:07; Receiver; ??0??I; RxString
21.04.2024 22:46:08; lomi; ??0??I; lomi
21.04.2024 23:27:31; Receiver; Cross-thread operation not valid: Control 'txtVeliki' accessed from a thread other than the thread it was created on.; Greska
21.04.2024 23:28:32; lomi; novi dogadjaj\nadresa citaca: 1\nkartica nije validna\nbroj kartice: 55\n------------------------\n; lomi
21.04.2024 23:28:39; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:30:21; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:31:08; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:32:57; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:22; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:50; Receiver; Value was either too large or too small for an unsigned byte.; Greska
20. 5. 2024. 12:23:07; card:0; comrec1; 189-189-191-189-173-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:07; card:0; comrec1; 189-189-175-189-173-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:07; card:0; comrec1; 189-173-189-189-189-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 189-189-189-189-189-189-173
20. 5. 2024. 12:23:07; card:0; comrec1; 189-189-253-189-189-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 189-173-189-189-189-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-255-253-255
20. 5. 2024. 12:23:07; card:0; comrec1; 175-191-189-191-253-189-189
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-253-255-255
20. 5. 2024. 12:23:07; card:0; comrec1; 189-253-191-189-191-253-189
20. 5. 2024. 12:23:08; card:0; comrec1; 191-191-189-189-189-175-191
20. 5. 2024. 12:23:08; card:0; comrec1; 175-255-175-189-189-189-191
20. 5. 2024. 12:23:08; card:0; comrec1; 175-255-175-189-189-189-189
20. 5. 2024. 12:23:08; card:0; comrec1; 191-191-175-253-175-191-253
20. 5. 2024. 12:23:08; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:08; card:0; comrec1; 191-191-175-189-189-253-191
20. 5. 2024. 12:23:08; card:0; comrec1; 175-245-191-189-245-175-189
20. 5. 2024. 12:23:08; card:0; comrec1; 191-255-175-189-189-189-175
20. 5. 2024. 12:23:08; card:0; comrec1; 191-255-253-189-253-175-247
20. 5. 2024. 12:23:08; card:0; comrec1; 255-255-255-255-255-255-253
20. 5. 2024. 12:23:08; card:0; comrec1; 191-189-239-253-253-253-175
20. 5. 2024. 12:23:08; card:0; comrec1; 255-253-255-255-255-255-255
20. 5. 2024. 12:23:08; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:08; card:0; comrec1; 255-175-253-245-253-253-191
20. 5. 2024. 12:23:08; card:0; comrec1; 175-253-245-255-191-245-189
20. 5. 2024. 12:23:08; card:0; comrec1; 191-253-255-191-245-255-253
20. 5. 2024. 12:23:08; card:0; comrec1; 253-247-253-191-253-189-255
20. 5. 2024. 12:23:08; card:0; comrec1; 189-175-253-253-245-255-191
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-253-191-191-191-245
20. 5. 2024. 12:23:08; card:0; comrec1; 255-189-191-255-189-175-253
20. 5. 2024. 12:23:08; card:0; comrec1; 255-191-253-253-191-253-255
20. 5. 2024. 12:23:08; card:0; comrec1; 255-253-255-253-255-253-255
20. 5. 2024. 12:23:08; card:0; comrec1; 245-245-253-255-253-255-253
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-189-191-191-245-255
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-253-245-247-253-255
20. 5. 2024. 12:23:08; card:0; comrec1; 253-191-191-191-253-253-253
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-253-255-191-255-191
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-253-245-247-253-255
20. 5. 2024. 12:23:08; card:0; comrec1; 253-255-253-255-189-255-191
20. 5. 2024. 12:23:09; card:0; comrec1; 253-255-253-255-253-247-245
20. 5. 2024. 12:23:09; card:0; comrec1; 253-247-245-247-245-247-245
20. 5. 2024. 12:23:09; card:0; comrec1; 253-255-245-247-245-245-245
20. 5. 2024. 12:23:09; card:0; comrec1; 253-213-245-247-245-245-245
20. 5. 2024. 12:23:09; card:0; comrec1; 253-255-253-255-245-247-245
20. 5. 2024. 12:23:09; card:0; comrec1; 245-245-245-247-245-253-213
20. 5. 2024. 12:23:09; card:0; comrec1; 255-127-255-255-255-247-213
20. 5. 2024. 12:23:09; card:0; comrec1; 221-245-247-245-245-245-245
20. 5. 2024. 12:23:09; card:0; comrec1; 213-213-247-253-247-117-213
20. 5. 2024. 12:23:09; card:0; comrec1; 245-213-85-247-245-247-213
20. 5. 2024. 12:23:09; card:0; comrec1; 255-255-255-255-253-255-213
20. 5. 2024. 12:23:09; card:0; comrec1; 117-215-213-215-245-247-245
20. 5. 2024. 12:23:09; card:1977480533; comrec1; 127-255-255-255-255-255-117
20. 5. 2024. 12:23:09; card:2139095039; comrec1; 127-255-127-255-255-127-127
20. 5. 2024. 12:23:09; card:0; comrec1; 127-255-127-255-127-127-255
20. 5. 2024. 12:23:09; card:0; comrec1; 215-117-253-245-221-213-245
20. 5. 2024. 12:23:09; card:0; comrec1; 127-255-127-255-127-127-215
20. 5. 2024. 12:23:09; card:2139086709; comrec1; 255-255-255-127-255-127-127
20. 5. 2024. 12:23:09; card:2145386495; comrec1; 255-255-255-127-127-255-127
20. 5. 2024. 12:23:09; card:1440044503; comrec1; 127-85-85-117-247-117-85
20. 5. 2024. 12:23:09; card:1968567765; comrec1; 127-87-245-87-93-215-117
20. 5. 2024. 12:23:09; card:2147450751; comrec1; 255-255-255-255-255-255-127
20. 5. 2024. 12:23:09; card:1467340117; comrec1; 85-221-213-85-215-117-87
20. 5. 2024. 12:23:09; card:1574262231; comrec1; 127-127-87-93-215-117-93
20. 5. 2024. 12:23:10; card:2002613717; comrec1; 127-127-255-255-127-127-119
20. 5. 2024. 12:23:10; card:2136856405; comrec1; 255-255-127-127-253-255-127
20. 5. 2024. 12:23:10; card:0; comrec1; 127-255-127-127-127-127-255
20. 5. 2024. 12:23:10; card:0; comrec1; 255-127-253-127-85-93-213
20. 5. 2024. 12:23:10; card:1969083733; comrec1; 117-93-117-93-117-85-117
20. 5. 2024. 12:23:10; card:2139062269; comrec1; 127-127-255-127-127-127-127
20. 5. 2024. 12:23:10; card:1431655765; comrec1; 87-85-85-85-87-117-85
20. 5. 2024. 12:23:10; card:0; comrec1; 127-253-127-127-253-127-255
20. 5. 2024. 12:23:10; card:1968559477; comrec1; 127-127-127-253-119-87-117
20. 5. 2024. 12:23:10; card:0; comrec1; 127-253-127-255-127-127-255
20. 5. 2024. 12:23:10; card:1467307893; comrec1; 87-117-87-117-87-117-87
20. 5. 2024. 12:23:10; card:1433753461; comrec1; 95-127-127-127-85-117-85
20. 5. 2024. 12:23:10; card:1467307893; comrec1; 213-85-85-117-87-117-87
20. 5. 2024. 12:23:10; card:2147450751; comrec1; 127-127-255-255-255-127-127
20. 5. 2024. 12:23:10; card:1567972565; comrec1; 93-87-85-93-213-117-93
20. 5. 2024. 12:23:10; card:0; comrec1; 127-127-95-253-127-255-255
20. 5. 2024. 12:23:10; card:1433755093; comrec1; 117-93-117-93-85-117-85
20. 5. 2024. 12:23:10; card:2139094911; comrec1; 127-127-127-95-127-127-127
20. 5. 2024. 12:23:10; card:2139094911; comrec1; 255-255-255-255-255-95-127
20. 5. 2024. 12:23:10; card:1969050997; comrec1; 117-93-87-85-93-213-117
20. 5. 2024. 12:23:10; card:0; comrec1; 127-255-127-255-127-127-255
20. 5. 2024. 12:23:11; card:2139062143; comrec1; 127-255-255-127-127-255-127
20. 5. 2024. 12:23:11; card:0; comrec1; 85-117-93-213-117-93-213
20. 5. 2024. 12:23:11; card:1561818453; comrec1; 127-127-127-127-127-117-93
20. 5. 2024. 12:23:11; card:1431656309; comrec1; 85-93-87-117-93-87-85
20. 5. 2024. 12:23:11; card:1465210741; comrec1; 255-127-127-127-117-85-87
20. 5. 2024. 12:23:11; card:2139094911; comrec1; 127-127-255-127-255-127-127
20. 5. 2024. 12:23:11; card:1968559445; comrec1; 87-117-85-87-85-85-117
20. 5. 2024. 12:23:11; card:0; comrec1; 255-127-127-255-255-127-255
20. 5. 2024. 12:23:11; card:1969051509; comrec1; 87-117-85-117-93-85-117
20. 5. 2024. 12:23:11; card:1465218397; comrec1; 127-127-127-127-127-127-87
20. 5. 2024. 12:23:11; card:1431657815; comrec1; 85-117-93-213-117-93-85
20. 5. 2024. 12:23:11; card:1574403933; comrec1; 85-85-117-85-85-117-93
20. 5. 2024. 12:23:11; card:1968657757; comrec1; 85-93-85-117-85-87-117
20. 5. 2024. 12:23:11; card:1431819637; comrec1; 117-93-85-117-85-87-85
20. 5. 2024. 12:23:11; card:2139062143; comrec1; 255-255-255-127-127-127-127
20. 5. 2024. 12:23:11; card:1565906293; comrec1; 127-127-255-127-127-127-93
20. 5. 2024. 12:23:11; card:1440044373; comrec1; 213-85-93-87-117-93-85
20. 5. 2024. 12:23:11; card:1969051477; comrec1; 85-85-87-85-85-85-117
20. 5. 2024. 12:23:11; card:2136429941; comrec1; 127-127-127-127-127-95-127
20. 5. 2024. 12:23:11; card:1565873493; comrec1; 93-85-117-93-85-117-93
20. 5. 2024. 12:23:11; card:2139059541; comrec1; 127-127-127-127-127-255-127
20. 5. 2024. 12:23:11; card:2139062143; comrec1; 255-127-127-95-127-127-127
20. 5. 2024. 12:23:11; card:1433752917; comrec1; 85-85-85-87-117-85-85
20. 5. 2024. 12:23:11; card:2139062143; comrec1; 223-255-127-127-127-127-127
20. 5. 2024. 12:23:12; card:1431655765; comrec1; 255-127-127-127-93-87-85
20. 5. 2024. 12:23:12; card:0; comrec1; 127-127-127-255-127-127-253
20. 5. 2024. 12:23:12; card:2147319679; comrec1; 255-255-255-255-95-127-127
20. 5. 2024. 12:23:12; card:1465210205; comrec1; 213-117-93-87-85-85-87
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 255-255-255-127-127-127-127
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 127-127-127-127-127-127-127
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 127-253-127-127-127-127-127
20. 5. 2024. 12:23:12; card:1566004565; comrec1; 85-85-117-93-87-117-93
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 127-127-127-127-127-255-127
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 127-127-127-127-127-127-127
20. 5. 2024. 12:23:12; card:1431657813; comrec1; 93-85-85-85-85-85-85
20. 5. 2024. 12:23:12; card:1431688565; comrec1; 127-127-127-127-127-87-85
20. 5. 2024. 12:23:12; card:2139062143; comrec1; 127-95-127-127-255-127-127
20. 5. 2024. 12:23:12; card:2139062271; comrec1; 127-127-127-127-127-127-127
20. 5. 2024. 12:23:12; card:1431655773; comrec1; 85-85-85-85-117-85-85
20. 5. 2024. 12:23:12; card:1565906261; comrec1; 127-127-127-127-253-85-93
20. 5. 2024. 12:23:12; card:1969051477; comrec1; 127-127-127-127-127-127-117
20. 5. 2024. 12:23:12; card:0; comrec1; 255-191-255-255-255-127-253
20. 5. 2024. 12:23:12; card:1465218389; comrec1; 87-117-93-87-117-93-87
20. 5. 2024. 12:23:12; card:2147450751; comrec1; 127-127-127-127-253-127-127
20. 5. 2024. 12:23:13; card:1431786845; comrec1; 85-85-85-85-85-85-85
20. 5. 2024. 12:23:13; card:2136300887; comrec1; 127-127-255-127-127-127-127
20. 5. 2024. 12:23:13; card:2139062143; comrec1; 255-255-255-127-127-127-127
20. 5. 2024. 12:23:13; card:1465218389; comrec1; 85-85-93-87-85-85-87
20. 5. 2024. 12:23:13; card:1431655773; comrec1; 127-93-87-85-85-85-85
20. 5. 2024. 12:23:13; card:1467309399; comrec1; 127-85-87-85-85-85-87
20. 5. 2024. 12:23:13; card:2139053951; comrec1; 255-255-255-255-95-127-127
20. 5. 2024. 12:23:13; card:2139062143; comrec1; 247-223-255-255-223-127-127
20. 5. 2024. 12:23:13; card:1431663965; comrec1; 127-117-93-87-85-85-85
20. 5. 2024. 12:23:13; card:0; comrec1; 255-255-191-191-255-255-255
20. 5. 2024. 12:23:13; card:2147442559; comrec1; 255-247-255-255-127-127-127
20. 5. 2024. 12:23:13; card:2139062143; comrec1; 255-255-255-255-95-223-127
20. 5. 2024. 12:23:13; card:1431655767; comrec1; 127-95-117-85-85-87-85
20. 5. 2024. 12:23:13; card:0; comrec1; 253-253-191-191-191-253-255
20. 5. 2024. 12:23:14; card:2147483647; comrec1; 239-255-255-125-255-223-127
24. 5. 2024. 15:59:25; card:11581709; comrec2; 1-254-1-6-164-2-0
24. 5. 2024. 15:59:28; card:3193101; comrec2; 1-254-1-6-246-2-0
24. 5. 2024. 16:01:30; card:3193101; comrec1; 1-254-28-131-164-2-0
